Orthogroup	Vicia_faba-Fabales-Fabaceae-Vicia-1.prot	Vicia_faba-Fabales-Fabaceae-Vicia-2.prot
OG0000195	Vfaba.Tiffany.R1.1g099240.1, Vfaba.Tiffany.R1.1g099280.1, Vfaba.Tiffany.R1.1g269400.1, Vfaba.Tiffany.R1.5g114720.1, Vfaba.Tiffany.R1.5g114760.1, Vfaba.Tiffany.R1.5g114880.1, Vfaba.Tiffany.R1.5g114920.1	Vfaba.Hedin2.R1.5g142680.1, Vfaba.Hedin2.R1.5g142800.1, Vfaba.Hedin2.R1.5g142840.1, Vfaba.Hedin2.R1.5g192120.1
OG0000196	Vfaba.Tiffany.R1.1g115920.1, Vfaba.Tiffany.R1.1g123360.1, Vfaba.Tiffany.R1.1g136560.1, Vfaba.Tiffany.R1.1g289320.1, Vfaba.Tiffany.R1.2g168280.1, Vfaba.Tiffany.R1.3g107360.1, Vfaba.Tiffany.R1.5g071960.1	Vfaba.Hedin2.R1.1g013080.1, Vfaba.Hedin2.R1.1g107240.1, Vfaba.Hedin2.R1.2g207800.1, Vfaba.Hedin2.R1.6g123200.1
OG0000197	Vfaba.Tiffany.R1.1g085640.1, Vfaba.Tiffany.R1.1g304720.1, Vfaba.Tiffany.R1.1g401680.1, Vfaba.Tiffany.R1.4g091640.1, Vfaba.Tiffany.R1.4g120840.1, Vfaba.Tiffany.R1.6g071240.1, Vfaba.Tiffany.R1.Ung031400.1	Vfaba.Hedin2.R1.1g205600.1, Vfaba.Hedin2.R1.3g193520.1, Vfaba.Hedin2.R1.4g046480.1, Vfaba.Hedin2.R1.5g024440.1
OG0000198	Vfaba.Tiffany.R1.1g311120.1, Vfaba.Tiffany.R1.2g014880.1, Vfaba.Tiffany.R1.3g035160.1, Vfaba.Tiffany.R1.4g040640.1, Vfaba.Tiffany.R1.4g149680.1, Vfaba.Tiffany.R1.4g165560.1	Vfaba.Hedin2.R1.1g006800.1, Vfaba.Hedin2.R1.1g255480.1, Vfaba.Hedin2.R1.1g320960.1, Vfaba.Hedin2.R1.3g213240.1, Vfaba.Hedin2.R1.Ung021760.1
OG0000199	Vfaba.Tiffany.R1.1g318120.1, Vfaba.Tiffany.R1.1g318160.1, Vfaba.Tiffany.R1.1g318240.1, Vfaba.Tiffany.R1.1g318320.1, Vfaba.Tiffany.R1.1g318400.1	Vfaba.Hedin2.R1.1g389240.1, Vfaba.Hedin2.R1.1g389320.1, Vfaba.Hedin2.R1.5g099680.1, Vfaba.Hedin2.R1.5g099720.1, Vfaba.Hedin2.R1.Ung054400.1, Vfaba.Hedin2.R1.Ung054480.1
OG0000200	Vfaba.Tiffany.R1.1g323400.1, Vfaba.Tiffany.R1.1g327640.1, Vfaba.Tiffany.R1.3g147160.1, Vfaba.Tiffany.R1.4g005280.1, Vfaba.Tiffany.R1.5g124520.1, Vfaba.Tiffany.R1.6g102640.1, Vfaba.Tiffany.R1.6g134760.1	Vfaba.Hedin2.R1.1g394960.1, Vfaba.Hedin2.R1.4g128680.1, Vfaba.Hedin2.R1.6g046720.1, Vfaba.Hedin2.R1.Ung062440.1
OG0000201	Vfaba.Tiffany.R1.1g342280.1, Vfaba.Tiffany.R1.2g075520.1, Vfaba.Tiffany.R1.2g189080.1, Vfaba.Tiffany.R1.3g018040.1, Vfaba.Tiffany.R1.3g032720.1, Vfaba.Tiffany.R1.4g180320.1, Vfaba.Tiffany.R1.5g108440.1, Vfaba.Tiffany.R1.5g133920.1, Vfaba.Tiffany.R1.Ung024440.1, Vfaba.Tiffany.R1.Ung024480.1	Vfaba.Hedin2.R1.2g237680.1
OG0000202	Vfaba.Tiffany.R1.1g356200.1, Vfaba.Tiffany.R1.2g166120.1, Vfaba.Tiffany.R1.3g059720.1, Vfaba.Tiffany.R1.6g078000.1, Vfaba.Tiffany.R1.Ung038720.1	Vfaba.Hedin2.R1.3g086480.1, Vfaba.Hedin2.R1.4g031560.1, Vfaba.Hedin2.R1.4g062440.1, Vfaba.Hedin2.R1.4g074320.2, Vfaba.Hedin2.R1.6g096600.1, Vfaba.Hedin2.R1.6g128760.1
OG0000203	Vfaba.Tiffany.R1.1g358800.1, Vfaba.Tiffany.R1.1g359280.1, Vfaba.Tiffany.R1.2g167440.1, Vfaba.Tiffany.R1.2g195520.1, Vfaba.Tiffany.R1.2g195560.1, Vfaba.Tiffany.R1.2g197440.1, Vfaba.Tiffany.R1.3g108400.1, Vfaba.Tiffany.R1.5g082320.1, Vfaba.Tiffany.R1.6g075480.1, Vfaba.Tiffany.R1.6g130880.1, Vfaba.Tiffany.R1.6g153720.1	
OG0000204	Vfaba.Tiffany.R1.1g365840.1, Vfaba.Tiffany.R1.1g365840.2, Vfaba.Tiffany.R1.3g156000.1, Vfaba.Tiffany.R1.3g158400.1, Vfaba.Tiffany.R1.3g159720.1, Vfaba.Tiffany.R1.4g175240.1	Vfaba.Hedin2.R1.3g004280.1, Vfaba.Hedin2.R1.3g154920.1, Vfaba.Hedin2.R1.4g025800.1, Vfaba.Hedin2.R1.4g087000.1, Vfaba.Hedin2.R1.4g088240.1
OG0000205	Vfaba.Tiffany.R1.1g010520.1, Vfaba.Tiffany.R1.1g075320.1, Vfaba.Tiffany.R1.3g104360.1, Vfaba.Tiffany.R1.3g104360.2, Vfaba.Tiffany.R1.4g077080.2, Vfaba.Tiffany.R1.4g077160.1	Vfaba.Hedin2.R1.1g102040.1, Vfaba.Hedin2.R1.2g118720.1, Vfaba.Hedin2.R1.2g118720.2, Vfaba.Hedin2.R1.4g103640.1, Vfaba.Hedin2.R1.4g103680.2
OG0000206	Vfaba.Tiffany.R1.1g011280.1, Vfaba.Tiffany.R1.1g011320.1, Vfaba.Tiffany.R1.3g120320.1, Vfaba.Tiffany.R1.3g120360.1, Vfaba.Tiffany.R1.3g120360.2, Vfaba.Tiffany.R1.3g120400.1, Vfaba.Tiffany.R1.3g120440.1, Vfaba.Tiffany.R1.5g018240.1, Vfaba.Tiffany.R1.5g018240.2	Vfaba.Hedin2.R1.5g020520.1, Vfaba.Hedin2.R1.5g020520.2
OG0000207	Vfaba.Tiffany.R1.1g037720.1, Vfaba.Tiffany.R1.1g037720.2, Vfaba.Tiffany.R1.1g093680.1, Vfaba.Tiffany.R1.5g071880.1, Vfaba.Tiffany.R1.6g087200.1, Vfaba.Tiffany.R1.Ung045800.1	Vfaba.Hedin2.R1.1g011120.1, Vfaba.Hedin2.R1.1g460560.1, Vfaba.Hedin2.R1.4g127920.1, Vfaba.Hedin2.R1.4g127920.2, Vfaba.Hedin2.R1.Ung102760.1
OG0000208	Vfaba.Tiffany.R1.1g052560.1, Vfaba.Tiffany.R1.1g052560.2, Vfaba.Tiffany.R1.1g052600.1, Vfaba.Tiffany.R1.4g013720.1, Vfaba.Tiffany.R1.4g013720.2, Vfaba.Tiffany.R1.4g013720.3	Vfaba.Hedin2.R1.1g072800.1, Vfaba.Hedin2.R1.1g072800.2, Vfaba.Hedin2.R1.1g072840.1, Vfaba.Hedin2.R1.4g017400.1, Vfaba.Hedin2.R1.4g017400.2
OG0000209	Vfaba.Tiffany.R1.1g060520.1, Vfaba.Tiffany.R1.1g139520.1, Vfaba.Tiffany.R1.1g145720.1, Vfaba.Tiffany.R1.5g072720.1, Vfaba.Tiffany.R1.5g083440.1	Vfaba.Hedin2.R1.1g016960.1, Vfaba.Hedin2.R1.1g181720.1, Vfaba.Hedin2.R1.1g318000.1, Vfaba.Hedin2.R1.3g065840.1, Vfaba.Hedin2.R1.3g116560.1, Vfaba.Hedin2.R1.4g175680.1
OG0000210	Vfaba.Tiffany.R1.1g064400.1, Vfaba.Tiffany.R1.Ung037160.1, Vfaba.Tiffany.R1.Ung037240.1, Vfaba.Tiffany.R1.Ung037520.1, Vfaba.Tiffany.R1.Ung037520.2, Vfaba.Tiffany.R1.Ung037560.1, Vfaba.Tiffany.R1.Ung040920.1, Vfaba.Tiffany.R1.Ung040960.1, Vfaba.Tiffany.R1.Ung041000.1, Vfaba.Tiffany.R1.Ung041000.2, Vfaba.Tiffany.R1.Ung043320.1	
OG0000211	Vfaba.Tiffany.R1.1g064560.1, Vfaba.Tiffany.R1.Ung016440.1, Vfaba.Tiffany.R1.Ung037200.1, Vfaba.Tiffany.R1.Ung037480.1, Vfaba.Tiffany.R1.Ung040040.1, Vfaba.Tiffany.R1.Ung043280.1, Vfaba.Tiffany.R1.Ung045960.1, Vfaba.Tiffany.R1.Ung046080.1, Vfaba.Tiffany.R1.Ung046400.1	Vfaba.Hedin2.R1.Ung006800.1, Vfaba.Hedin2.R1.Ung031400.1
OG0000212	Vfaba.Tiffany.R1.1g066560.1, Vfaba.Tiffany.R1.1g135920.1, Vfaba.Tiffany.R1.2g076760.1, Vfaba.Tiffany.R1.2g158200.1, Vfaba.Tiffany.R1.3g052160.1, Vfaba.Tiffany.R1.5g052440.1, Vfaba.Tiffany.R1.6g116320.1	Vfaba.Hedin2.R1.1g023480.1, Vfaba.Hedin2.R1.1g229320.1, Vfaba.Hedin2.R1.1g404600.1, Vfaba.Hedin2.R1.6g057000.1
OG0000213	Vfaba.Tiffany.R1.1g082320.1, Vfaba.Tiffany.R1.1g082360.1, Vfaba.Tiffany.R1.1g082400.1, Vfaba.Tiffany.R1.1g082440.1, Vfaba.Tiffany.R1.1g082480.1, Vfaba.Tiffany.R1.1g082560.1, Vfaba.Tiffany.R1.1g082600.1, Vfaba.Tiffany.R1.Ung044480.1	Vfaba.Hedin2.R1.1g111560.1, Vfaba.Hedin2.R1.1g111640.1, Vfaba.Hedin2.R1.1g111680.1
OG0000214	Vfaba.Tiffany.R1.1g083440.1, Vfaba.Tiffany.R1.1g083480.1, Vfaba.Tiffany.R1.1g083600.1	Vfaba.Hedin2.R1.1g112880.1, Vfaba.Hedin2.R1.6g088160.1, Vfaba.Hedin2.R1.6g111000.1, Vfaba.Hedin2.R1.Ung065720.1, Vfaba.Hedin2.R1.Ung065800.1, Vfaba.Hedin2.R1.Ung073000.1, Vfaba.Hedin2.R1.Ung073040.1, Vfaba.Hedin2.R1.Ung099680.1
OG0000215	Vfaba.Tiffany.R1.1g097160.1, Vfaba.Tiffany.R1.1g135960.1, Vfaba.Tiffany.R1.3g154040.1, Vfaba.Tiffany.R1.3g154040.2, Vfaba.Tiffany.R1.3g154080.1, Vfaba.Tiffany.R1.4g106320.1, Vfaba.Tiffany.R1.4g106320.2, Vfaba.Tiffany.R1.6g016840.1	Vfaba.Hedin2.R1.4g139040.1, Vfaba.Hedin2.R1.4g139040.2, Vfaba.Hedin2.R1.6g022320.1
OG0000216	Vfaba.Tiffany.R1.1g118800.1, Vfaba.Tiffany.R1.2g069720.1, Vfaba.Tiffany.R1.5g047200.1, Vfaba.Tiffany.R1.6g016400.1, Vfaba.Tiffany.R1.Ung029040.1	Vfaba.Hedin2.R1.1g464600.1, Vfaba.Hedin2.R1.2g059720.1, Vfaba.Hedin2.R1.5g110360.1, Vfaba.Hedin2.R1.Ung019360.1, Vfaba.Hedin2.R1.Ung078960.1, Vfaba.Hedin2.R1.Ung098680.1
OG0000217	Vfaba.Tiffany.R1.2g060000.1, Vfaba.Tiffany.R1.2g060000.2, Vfaba.Tiffany.R1.2g060000.3, Vfaba.Tiffany.R1.Ung012320.1, Vfaba.Tiffany.R1.Ung012320.2, Vfaba.Tiffany.R1.Ung012320.3	Vfaba.Hedin2.R1.1g153760.1, Vfaba.Hedin2.R1.1g153760.2, Vfaba.Hedin2.R1.1g153760.3, Vfaba.Hedin2.R1.1g197400.1, Vfaba.Hedin2.R1.1g197400.2
OG0000218	Vfaba.Tiffany.R1.2g081080.1, Vfaba.Tiffany.R1.2g081120.1, Vfaba.Tiffany.R1.2g081200.1, Vfaba.Tiffany.R1.4g121800.1, Vfaba.Tiffany.R1.4g121920.1	Vfaba.Hedin2.R1.2g097760.1, Vfaba.Hedin2.R1.2g097840.1, Vfaba.Hedin2.R1.2g097920.1, Vfaba.Hedin2.R1.4g161240.1, Vfaba.Hedin2.R1.4g161440.1, Vfaba.Hedin2.R1.5g047560.1
OG0000219	Vfaba.Tiffany.R1.2g120160.1, Vfaba.Tiffany.R1.4g113320.1, Vfaba.Tiffany.R1.6g120280.1, Vfaba.Tiffany.R1.6g133200.1, Vfaba.Tiffany.R1.Ung022240.1	Vfaba.Hedin2.R1.1g309720.1, Vfaba.Hedin2.R1.2g214720.1, Vfaba.Hedin2.R1.4g025920.1, Vfaba.Hedin2.R1.4g030440.1, Vfaba.Hedin2.R1.4g193800.1, Vfaba.Hedin2.R1.6g173280.1
OG0000220	Vfaba.Tiffany.R1.2g172760.1, Vfaba.Tiffany.R1.2g172800.1, Vfaba.Tiffany.R1.2g172840.1, Vfaba.Tiffany.R1.2g172880.1, Vfaba.Tiffany.R1.2g172920.1, Vfaba.Tiffany.R1.2g172960.1, Vfaba.Tiffany.R1.2g173000.1, Vfaba.Tiffany.R1.2g173160.1, Vfaba.Tiffany.R1.2g173200.1, Vfaba.Tiffany.R1.2g173240.1, Vfaba.Tiffany.R1.2g173280.1	
OG0000221	Vfaba.Tiffany.R1.2g197200.1, Vfaba.Tiffany.R1.2g197200.2	Vfaba.Hedin2.R1.1g284800.1, Vfaba.Hedin2.R1.1g284800.2, Vfaba.Hedin2.R1.1g284800.4, Vfaba.Hedin2.R1.1g284800.5, Vfaba.Hedin2.R1.1g284800.6, Vfaba.Hedin2.R1.1g462440.1, Vfaba.Hedin2.R1.1g462440.2, Vfaba.Hedin2.R1.Ung004280.1, Vfaba.Hedin2.R1.Ung004280.2
OG0000222	Vfaba.Tiffany.R1.3g002720.1, Vfaba.Tiffany.R1.3g144440.1, Vfaba.Tiffany.R1.3g144480.1, Vfaba.Tiffany.R1.3g144520.1, Vfaba.Tiffany.R1.3g144560.1, Vfaba.Tiffany.R1.3g144600.1	Vfaba.Hedin2.R1.3g003840.1, Vfaba.Hedin2.R1.3g181720.1, Vfaba.Hedin2.R1.3g181760.1, Vfaba.Hedin2.R1.3g181840.1, Vfaba.Hedin2.R1.3g181880.1
OG0000223	Vfaba.Tiffany.R1.3g013200.1, Vfaba.Tiffany.R1.4g134800.1, Vfaba.Tiffany.R1.5g082280.1, Vfaba.Tiffany.R1.6g017840.1, Vfaba.Tiffany.R1.6g089320.1	Vfaba.Hedin2.R1.1g209480.1, Vfaba.Hedin2.R1.1g209480.2, Vfaba.Hedin2.R1.1g209520.1, Vfaba.Hedin2.R1.2g258880.1, Vfaba.Hedin2.R1.3g019800.1, Vfaba.Hedin2.R1.3g019920.1
OG0000224	Vfaba.Tiffany.R1.3g024720.1	Vfaba.Hedin2.R1.5g024000.1, Vfaba.Hedin2.R1.5g179360.1, Vfaba.Hedin2.R1.Ung008240.1, Vfaba.Hedin2.R1.Ung022280.1, Vfaba.Hedin2.R1.Ung022600.1, Vfaba.Hedin2.R1.Ung099320.1, Vfaba.Hedin2.R1.Ung100440.1, Vfaba.Hedin2.R1.Ung104000.1, Vfaba.Hedin2.R1.Ung110120.1, Vfaba.Hedin2.R1.Ung114960.1
OG0000225	Vfaba.Tiffany.R1.3g027400.1, Vfaba.Tiffany.R1.3g027440.1, Vfaba.Tiffany.R1.3g027520.1, Vfaba.Tiffany.R1.3g027560.1, Vfaba.Tiffany.R1.3g027600.1, Vfaba.Tiffany.R1.3g027640.1, Vfaba.Tiffany.R1.3g027680.1, Vfaba.Tiffany.R1.3g027720.1, Vfaba.Tiffany.R1.3g027760.1, Vfaba.Tiffany.R1.3g027840.1, Vfaba.Tiffany.R1.6g048000.1	
OG0000226	Vfaba.Tiffany.R1.3g044040.1, Vfaba.Tiffany.R1.3g142560.1, Vfaba.Tiffany.R1.5g070880.1, Vfaba.Tiffany.R1.5g070920.1, Vfaba.Tiffany.R1.5g070960.1, Vfaba.Tiffany.R1.5g071000.1, Vfaba.Tiffany.R1.5g071040.1, Vfaba.Tiffany.R1.6g027240.1	Vfaba.Hedin2.R1.3g053160.1, Vfaba.Hedin2.R1.5g084280.1, Vfaba.Hedin2.R1.5g084360.1
OG0000227	Vfaba.Tiffany.R1.3g090400.1, Vfaba.Tiffany.R1.3g090440.1, Vfaba.Tiffany.R1.3g145360.1, Vfaba.Tiffany.R1.3g153640.1, Vfaba.Tiffany.R1.4g100000.1, Vfaba.Tiffany.R1.5g113520.1	Vfaba.Hedin2.R1.3g113640.1, Vfaba.Hedin2.R1.3g113680.1, Vfaba.Hedin2.R1.4g037720.1, Vfaba.Hedin2.R1.Ung033440.1, Vfaba.Hedin2.R1.Ung107160.1
OG0000228	Vfaba.Tiffany.R1.3g142960.1, Vfaba.Tiffany.R1.3g174360.1	Vfaba.Hedin2.R1.3g180040.1, Vfaba.Hedin2.R1.3g180080.1, Vfaba.Hedin2.R1.3g212200.1, Vfaba.Hedin2.R1.3g212200.2, Vfaba.Hedin2.R1.Ung008720.1, Vfaba.Hedin2.R1.Ung086120.1, Vfaba.Hedin2.R1.Ung086160.1, Vfaba.Hedin2.R1.Ung106960.1, Vfaba.Hedin2.R1.Ung107000.1
OG0000229	Vfaba.Tiffany.R1.4g027600.1, Vfaba.Tiffany.R1.4g027640.1, Vfaba.Tiffany.R1.4g027680.1, Vfaba.Tiffany.R1.4g027720.1, Vfaba.Tiffany.R1.4g027760.1, Vfaba.Tiffany.R1.4g027840.1, Vfaba.Tiffany.R1.4g027880.1	Vfaba.Hedin2.R1.4g036280.1, Vfaba.Hedin2.R1.4g036320.1, Vfaba.Hedin2.R1.4g036360.1, Vfaba.Hedin2.R1.4g036440.1
OG0000230	Vfaba.Tiffany.R1.5g003440.1, Vfaba.Tiffany.R1.5g003440.2, Vfaba.Tiffany.R1.5g009600.1, Vfaba.Tiffany.R1.5g009600.2, Vfaba.Tiffany.R1.5g011240.1, Vfaba.Tiffany.R1.5g011240.2	Vfaba.Hedin2.R1.5g003640.1, Vfaba.Hedin2.R1.5g010800.1, Vfaba.Hedin2.R1.5g010800.2, Vfaba.Hedin2.R1.5g012680.1, Vfaba.Hedin2.R1.5g012680.2
OG0000231	Vfaba.Tiffany.R1.5g054120.1, Vfaba.Tiffany.R1.5g054120.2	Vfaba.Hedin2.R1.2g243840.1, Vfaba.Hedin2.R1.2g243840.2, Vfaba.Hedin2.R1.3g060720.1, Vfaba.Hedin2.R1.3g060720.2, Vfaba.Hedin2.R1.3g168880.1, Vfaba.Hedin2.R1.3g168880.2, Vfaba.Hedin2.R1.5g064240.1, Vfaba.Hedin2.R1.5g064240.2, Vfaba.Hedin2.R1.6g048240.1
OG0000232	Vfaba.Tiffany.R1.5g087880.1, Vfaba.Tiffany.R1.5g111000.1, Vfaba.Tiffany.R1.5g111360.1, Vfaba.Tiffany.R1.5g111400.1, Vfaba.Tiffany.R1.5g129080.1, Vfaba.Tiffany.R1.5g129120.1	Vfaba.Hedin2.R1.5g107640.1, Vfaba.Hedin2.R1.5g137640.1, Vfaba.Hedin2.R1.5g137760.1, Vfaba.Hedin2.R1.5g161600.1, Vfaba.Hedin2.R1.5g161640.1
OG0000233	Vfaba.Tiffany.R1.5g106960.1, Vfaba.Tiffany.R1.5g106960.2, Vfaba.Tiffany.R1.5g106960.3	Vfaba.Hedin2.R1.1g412440.1, Vfaba.Hedin2.R1.1g412440.2, Vfaba.Hedin2.R1.4g146240.1, Vfaba.Hedin2.R1.4g146240.2, Vfaba.Hedin2.R1.4g146240.3, Vfaba.Hedin2.R1.5g172240.1, Vfaba.Hedin2.R1.5g172240.2, Vfaba.Hedin2.R1.5g172240.3
OG0000234	Null	Vfaba.Hedin2.R1.1g006480.1, Vfaba.Hedin2.R1.1g006520.1, Vfaba.Hedin2.R1.1g006640.1, Vfaba.Hedin2.R1.1g006680.1, Vfaba.Hedin2.R1.1g006720.1, Vfaba.Hedin2.R1.1g006760.1, Vfaba.Hedin2.R1.1g006840.1, Vfaba.Hedin2.R1.1g006880.1, Vfaba.Hedin2.R1.1g007440.1, Vfaba.Hedin2.R1.Ung083840.1, Vfaba.Hedin2.R1.Ung083880.1
OG0000235	Vfaba.Tiffany.R1.1g162000.1, Vfaba.Tiffany.R1.1g162040.1, Vfaba.Tiffany.R1.3g049560.1, Vfaba.Tiffany.R1.4g020960.1, Vfaba.Tiffany.R1.4g087680.1, Vfaba.Tiffany.R1.5g023680.1, Vfaba.Tiffany.R1.5g118280.1, Vfaba.Tiffany.R1.6g123400.1	Vfaba.Hedin2.R1.6g077640.1, Vfaba.Hedin2.R1.6g077640.2
OG0000236	Vfaba.Tiffany.R1.1g163640.1, Vfaba.Tiffany.R1.2g196800.1, Vfaba.Tiffany.R1.5g058360.1, Vfaba.Tiffany.R1.6g093640.1, Vfaba.Tiffany.R1.6g097080.1, Vfaba.Tiffany.R1.Ung030520.1	Vfaba.Hedin2.R1.2g220760.1, Vfaba.Hedin2.R1.4g118400.1, Vfaba.Hedin2.R1.4g187840.1, Vfaba.Hedin2.R1.5g181800.1
OG0000237	Vfaba.Tiffany.R1.1g157320.1, Vfaba.Tiffany.R1.1g157960.1, Vfaba.Tiffany.R1.1g171040.1, Vfaba.Tiffany.R1.5g134800.1	Vfaba.Hedin2.R1.2g227000.1, Vfaba.Hedin2.R1.2g227000.2, Vfaba.Hedin2.R1.4g179800.1, Vfaba.Hedin2.R1.Ung005680.1, Vfaba.Hedin2.R1.Ung014920.1, Vfaba.Hedin2.R1.Ung040160.1
OG0000238	Vfaba.Tiffany.R1.1g157440.1, Vfaba.Tiffany.R1.1g171080.1, Vfaba.Tiffany.R1.3g118720.1, Vfaba.Tiffany.R1.4g157120.1, Vfaba.Tiffany.R1.5g134760.1	Vfaba.Hedin2.R1.1g011440.1, Vfaba.Hedin2.R1.3g166280.1, Vfaba.Hedin2.R1.5g024120.1, Vfaba.Hedin2.R1.Ung005600.1, Vfaba.Hedin2.R1.Ung060280.1
OG0000239	Vfaba.Tiffany.R1.1g001880.1, Vfaba.Tiffany.R1.1g045800.1, Vfaba.Tiffany.R1.1g107040.1, Vfaba.Tiffany.R1.1g177360.1, Vfaba.Tiffany.R1.1g259000.1, Vfaba.Tiffany.R1.2g028920.1, Vfaba.Tiffany.R1.3g093920.1, Vfaba.Tiffany.R1.3g110760.1, Vfaba.Tiffany.R1.3g146200.1, Vfaba.Tiffany.R1.6g047040.1	
OG0000240	Vfaba.Tiffany.R1.1g110680.1, Vfaba.Tiffany.R1.1g118840.1, Vfaba.Tiffany.R1.1g181480.1, Vfaba.Tiffany.R1.1g332440.1, Vfaba.Tiffany.R1.2g132000.1, Vfaba.Tiffany.R1.2g139320.1, Vfaba.Tiffany.R1.6g148240.1	Vfaba.Hedin2.R1.1g405720.1, Vfaba.Hedin2.R1.2g172920.1, Vfaba.Hedin2.R1.3g052280.1
OG0000241	Vfaba.Tiffany.R1.1g067040.1, Vfaba.Tiffany.R1.1g067080.1, Vfaba.Tiffany.R1.1g094360.1, Vfaba.Tiffany.R1.1g094360.2, Vfaba.Tiffany.R1.1g182960.1, Vfaba.Tiffany.R1.6g003880.1, Vfaba.Tiffany.R1.6g039920.1, Vfaba.Tiffany.R1.6g039920.2	Vfaba.Hedin2.R1.4g132600.1, Vfaba.Hedin2.R1.6g005160.1
OG0000242	Vfaba.Tiffany.R1.1g184280.1, Vfaba.Tiffany.R1.1g184320.1, Vfaba.Tiffany.R1.1g184360.1, Vfaba.Tiffany.R1.1g184400.1, Vfaba.Tiffany.R1.1g184440.1, Vfaba.Tiffany.R1.1g184480.1	Vfaba.Hedin2.R1.1g231320.1, Vfaba.Hedin2.R1.1g231360.1, Vfaba.Hedin2.R1.1g231400.1, Vfaba.Hedin2.R1.1g231480.1
OG0000243	Vfaba.Tiffany.R1.1g190240.1, Vfaba.Tiffany.R1.1g371280.1, Vfaba.Tiffany.R1.3g101520.1, Vfaba.Tiffany.R1.4g022400.3, Vfaba.Tiffany.R1.5g139920.1, Vfaba.Tiffany.R1.6g041440.1, Vfaba.Tiffany.R1.Ung024000.1	Vfaba.Hedin2.R1.1g286520.1, Vfaba.Hedin2.R1.6g169320.1, Vfaba.Hedin2.R1.Ung070000.1
OG0000244	Vfaba.Tiffany.R1.1g049000.1, Vfaba.Tiffany.R1.1g071080.1, Vfaba.Tiffany.R1.1g191880.1	Vfaba.Hedin2.R1.1g240440.1, Vfaba.Hedin2.R1.1g311680.1, Vfaba.Hedin2.R1.2g217000.1, Vfaba.Hedin2.R1.3g088920.1, Vfaba.Hedin2.R1.3g174680.1, Vfaba.Hedin2.R1.5g066400.1, Vfaba.Hedin2.R1.Ung068360.1
OG0000245	Vfaba.Tiffany.R1.1g196320.1, Vfaba.Tiffany.R1.1g333440.1, Vfaba.Tiffany.R1.6g033320.1	Vfaba.Hedin2.R1.1g086680.1, Vfaba.Hedin2.R1.1g118680.1, Vfaba.Hedin2.R1.1g195760.1, Vfaba.Hedin2.R1.1g244880.1, Vfaba.Hedin2.R1.1g303360.1, Vfaba.Hedin2.R1.3g062560.1, Vfaba.Hedin2.R1.Ung027840.1
OG0000246	Vfaba.Tiffany.R1.1g196480.1, Vfaba.Tiffany.R1.1g196520.1, Vfaba.Tiffany.R1.1g196560.1, Vfaba.Tiffany.R1.1g196600.1, Vfaba.Tiffany.R1.3g113400.1	Vfaba.Hedin2.R1.1g245040.1, Vfaba.Hedin2.R1.1g245080.1, Vfaba.Hedin2.R1.1g245120.1, Vfaba.Hedin2.R1.1g245160.1, Vfaba.Hedin2.R1.3g141200.1
OG0000247	Vfaba.Tiffany.R1.1g202480.1, Vfaba.Tiffany.R1.1g333400.1, Vfaba.Tiffany.R1.2g023920.1, Vfaba.Tiffany.R1.3g150960.1, Vfaba.Tiffany.R1.4g092240.1, Vfaba.Tiffany.R1.5g135320.1, Vfaba.Tiffany.R1.5g135320.2	Vfaba.Hedin2.R1.1g253200.1, Vfaba.Hedin2.R1.5g061320.1, Vfaba.Hedin2.R1.5g140480.1
OG0000248	Vfaba.Tiffany.R1.1g204680.1, Vfaba.Tiffany.R1.1g204680.2, Vfaba.Tiffany.R1.1g204720.1, Vfaba.Tiffany.R1.1g204720.2, Vfaba.Tiffany.R1.1g204720.3, Vfaba.Tiffany.R1.1g204720.4, Vfaba.Tiffany.R1.1g204720.5, Vfaba.Tiffany.R1.1g204720.6, Vfaba.Tiffany.R1.1g204720.7, Vfaba.Tiffany.R1.1g204720.8	
OG0000249	Vfaba.Tiffany.R1.1g101320.2, Vfaba.Tiffany.R1.1g204960.2, Vfaba.Tiffany.R1.2g165440.1, Vfaba.Tiffany.R1.4g109000.1, Vfaba.Tiffany.R1.4g135960.1, Vfaba.Tiffany.R1.4g159200.1, Vfaba.Tiffany.R1.Ung039080.1	Vfaba.Hedin2.R1.1g451440.1, Vfaba.Hedin2.R1.1g451520.1, Vfaba.Hedin2.R1.2g263520.1
OG0000250	Vfaba.Tiffany.R1.1g218320.1, Vfaba.Tiffany.R1.1g218400.1, Vfaba.Tiffany.R1.1g218480.1, Vfaba.Tiffany.R1.1g218560.1, Vfaba.Tiffany.R1.1g218640.1, Vfaba.Tiffany.R1.1g218720.1	Vfaba.Hedin2.R1.1g270880.1, Vfaba.Hedin2.R1.1g270960.1, Vfaba.Hedin2.R1.1g271040.1, Vfaba.Hedin2.R1.1g271120.1
OG0000251	Vfaba.Tiffany.R1.1g158720.1, Vfaba.Tiffany.R1.1g242240.1, Vfaba.Tiffany.R1.1g311040.1, Vfaba.Tiffany.R1.2g095520.1, Vfaba.Tiffany.R1.4g008520.1, Vfaba.Tiffany.R1.5g029240.1, Vfaba.Tiffany.R1.5g099200.1	Vfaba.Hedin2.R1.2g237560.1, Vfaba.Hedin2.R1.5g018880.1, Vfaba.Hedin2.R1.5g123440.1
