Orthogroup	Apatococcus_fuscideae-Prasiolales.prot	Apatococcus_lobatus-Prasiolales.prot
OG0000096	KAK9842426.1, KAK9866696.1, KAK9868007.1	KAK9816215.1, KAK9822052.1, KAK9843114.1
OG0000097	KAK9843556.1, KAK9847049.1, KAK9867197.1, KAK9867198.1	KAK9833865.1, KAK9833866.1
OG0000098	KAK9843593.1, KAK9861031.1, KAK9863223.1	KAK9816394.1, KAK9818683.1, KAK9820788.1
OG0000099	KAK9844235.1, KAK9853887.1, KAK9853888.1, KAK9861254.1	KAK9817611.1, KAK9827028.1
OG0000100	KAK9845178.1	KAK9830838.1, KAK9832152.1, KAK9842940.1, KAK9843321.1, KAK9844955.1
OG0000101	KAK9845621.1, KAK9845622.1, KAK9863649.1, KAK9863650.1, KAK9863651.1	KAK9816013.1
OG0000102	KAK9846757.1, KAK9846758.1, KAK9867378.1	KAK9820877.1, KAK9821659.1, KAK9821660.1
OG0000103	KAK9846804.1, KAK9861153.1, KAK9861298.1, KAK9861299.1, KAK9868374.1	KAK9845065.1
OG0000104	KAK9846863.1, KAK9847451.1, KAK9847453.1	KAK9836629.1, KAK9836630.1, KAK9836631.1
OG0000105	KAK9847012.1, KAK9868443.1, KAK9868842.1	KAK9844275.1, KAK9844336.1, KAK9844740.1
OG0000106	KAK9847040.1, KAK9847041.1, KAK9863521.1	KAK9834397.1, KAK9834398.1, KAK9834399.1
OG0000107	KAK9847092.1, KAK9854456.1, KAK9854457.1, KAK9854458.1	KAK9844745.1, KAK9844746.1
OG0000108	KAK9847915.1, KAK9866298.1, KAK9866299.1, KAK9866300.1, KAK9866301.1	KAK9831057.1
OG0000109	KAK9848033.1, KAK9868550.1, KAK9868555.1	KAK9824876.1, KAK9832899.1, KAK9835662.1
OG0000110	KAK9848333.1, KAK9848334.1, KAK9868229.1, KAK9868230.1	KAK9833039.1, KAK9833040.1
OG0000111	KAK9848491.1, KAK9848492.1, KAK9869066.1, KAK9869084.1	KAK9825287.1, KAK9825288.1
OG0000112	KAK9848944.1, KAK9867289.1	KAK9825279.1, KAK9825280.1, KAK9842782.1, KAK9842993.1
OG0000113	KAK9849513.1, KAK9862129.1, KAK9864934.1	KAK9825059.1, KAK9835714.1, KAK9842963.1
OG0000114	KAK9850616.1, KAK9850617.1, KAK9850618.1, KAK9854471.1	KAK9836852.1, KAK9836853.1
OG0000115	KAK9850628.1	KAK9837793.1, KAK9837838.1, KAK9838025.1, KAK9839053.1, KAK9841614.1
OG0000116	KAK9851164.1, KAK9851165.1, KAK9851166.1, KAK9866854.1	KAK9844987.1, KAK9844988.1
OG0000117	KAK9851694.1, KAK9854194.1, KAK9854195.1	KAK9816207.1, KAK9825489.1, KAK9825490.1
OG0000118	KAK9852359.1, KAK9852360.1, KAK9867352.1, KAK9867353.1	KAK9830855.1, KAK9830856.1
OG0000119	KAK9853652.1, KAK9853653.1, KAK9861887.1	KAK9827899.1, KAK9827900.1, KAK9827901.1
OG0000120	KAK9854813.1	KAK9827443.1, KAK9827444.1, KAK9827445.1, KAK9827446.1, KAK9827850.1
OG0000121	KAK9856112.1	KAK9822263.1, KAK9822296.1, KAK9822317.1, KAK9837709.1, KAK9838775.1
OG0000122	KAK9856137.1, KAK9856138.1, KAK9862715.1, KAK9862716.1	KAK9843244.1, KAK9843245.1
OG0000123	KAK9856774.1, KAK9861116.1, KAK9864752.1	KAK9833190.1, KAK9833199.1, KAK9833204.1
OG0000124	KAK9857592.1, KAK9857595.1, KAK9861741.1	KAK9833683.1, KAK9835494.1, KAK9835835.1
OG0000125	KAK9858407.1, KAK9858408.1, KAK9858409.1	KAK9818901.1, KAK9818902.1, KAK9818903.1
OG0000126	KAK9858469.1, KAK9858470.1, KAK9867403.1	KAK9840083.1, KAK9840084.1, KAK9840085.1
OG0000127	KAK9861311.1, KAK9861312.1, KAK9861313.1, KAK9866703.1	KAK9840123.1, KAK9840124.1
OG0000128	KAK9861357.1, KAK9863052.1	KAK9818904.1, KAK9828177.1, KAK9834418.1, KAK9843095.1
OG0000129	KAK9861553.1, KAK9864043.1, KAK9867492.1	KAK9822932.1, KAK9827181.1, KAK9836456.1
OG0000130	KAK9861599.1	KAK9816336.1, KAK9817445.1, KAK9817450.1, KAK9821824.1, KAK9834375.1
OG0000131	KAK9861658.1, KAK9861659.1, KAK9868634.1, KAK9868635.1	KAK9819329.1, KAK9819330.1
OG0000132	KAK9861705.1, KAK9861706.1, KAK9861707.1	KAK9817510.1, KAK9831182.1, KAK9839961.1
OG0000133	KAK9861994.1	KAK9820691.1, KAK9836647.1, KAK9836703.1, KAK9836704.1, KAK9836907.1
OG0000134	KAK9862012.1, KAK9862013.1	KAK9842742.1, KAK9842743.1, KAK9842879.1, KAK9842880.1
OG0000135	KAK9862088.1, KAK9862993.1	KAK9822352.1, KAK9831203.1, KAK9832169.1, KAK9835522.1
OG0000136	KAK9862174.1, KAK9862175.1, KAK9862181.1, KAK9867764.1	KAK9838824.1, KAK9838952.1
OG0000137	KAK9862310.1, KAK9862318.1, KAK9867867.1	KAK9825322.1, KAK9826937.1, KAK9827107.1
OG0000138	KAK9863159.1, KAK9863160.1, KAK9866974.1	KAK9836792.1, KAK9836793.1, KAK9841636.1
OG0000139	KAK9863452.1, KAK9864382.1, KAK9864383.1, KAK9864513.1, KAK9864514.1, KAK9868836.1	
OG0000140	KAK9863640.1, KAK9863641.1, KAK9865455.1	KAK9821256.1, KAK9836502.1, KAK9836503.1
OG0000141	KAK9863665.1, KAK9865307.1, KAK9865308.1	KAK9822125.1, KAK9822126.1, KAK9822127.1
OG0000142	KAK9863675.1, KAK9865299.1, KAK9865300.1, KAK9865301.1	KAK9822029.1, KAK9822030.1
OG0000143	KAK9863712.1, KAK9863713.1, KAK9863714.1, KAK9863716.1, KAK9868746.1	KAK9831121.1
OG0000144	KAK9863832.1, KAK9863833.1, KAK9865542.1, KAK9865543.1	KAK9840332.1, KAK9840333.1
OG0000145	KAK9864110.1	KAK9826976.1, KAK9827822.1, KAK9831163.1, KAK9831164.1, KAK9844732.1
OG0000146	KAK9864334.1, KAK9864335.1, KAK9864336.1, KAK9865351.1	KAK9818455.1, KAK9818456.1
OG0000147	KAK9864689.1, KAK9865471.1	KAK9826600.1, KAK9826601.1, KAK9826602.1, KAK9826603.1
OG0000148	KAK9864761.1, KAK9866707.1	KAK9832215.1, KAK9832216.1, KAK9832217.1, KAK9832218.1
OG0000149	KAK9865162.1, KAK9865163.1, KAK9865164.1, KAK9865165.1	KAK9838731.1, KAK9838732.1
OG0000150	KAK9865166.1, KAK9865171.1, KAK9865172.1	KAK9837844.1, KAK9837845.1, KAK9837846.1
OG0000151	KAK9865424.1, KAK9865907.1, KAK9865912.1, KAK9868019.1, KAK9868020.1, KAK9868025.1	
OG0000152	KAK9866238.1	KAK9818453.1, KAK9819352.1, KAK9825341.1, KAK9830866.1, KAK9834693.1
OG0000153	KAK9866252.1, KAK9866253.1, KAK9866254.1	KAK9831728.1, KAK9831729.1, KAK9831730.1
OG0000154	KAK9866261.1, KAK9866264.1, KAK9867720.1, KAK9867727.1, KAK9868672.1	KAK9843248.1
OG0000155	KAK9866547.1, KAK9866549.1, KAK9868816.1, KAK9868942.1, KAK9868943.1	KAK9844534.1
OG0000156	KAK9866586.1, KAK9866592.1	KAK9838677.1, KAK9838678.1, KAK9838841.1, KAK9838916.1
OG0000157	KAK9866763.1, KAK9866764.1, KAK9866765.1, KAK9866766.1, KAK9866767.1	KAK9827815.1
OG0000158	KAK9867405.1, KAK9867406.1, KAK9867407.1, KAK9867408.1, KAK9867409.1	KAK9836525.1
OG0000159	KAK9868146.1, KAK9868147.1, KAK9868148.1, KAK9868149.1, KAK9868150.1	KAK9842853.1
OG0000160	KAK9868481.1	KAK9818629.1, KAK9818630.1, KAK9822564.1, KAK9827508.1, KAK9839974.1
OG0000161	KAK9868599.1	KAK9815966.1, KAK9815967.1, KAK9816063.1, KAK9827485.1, KAK9827486.1
OG0000162	KAK9868612.1	KAK9816046.1, KAK9818791.1, KAK9824944.1, KAK9828268.1, KAK9845057.1
OG0000163	Null	KAK9817344.1, KAK9830871.1, KAK9838707.1, KAK9838886.1, KAK9838918.1, KAK9839004.1
OG0000164	Null	KAK9817416.1, KAK9818533.1, KAK9821262.1, KAK9832308.1, KAK9832309.1, KAK9832437.1
OG0000165	Null	KAK9818452.1, KAK9819290.1, KAK9825316.1, KAK9830664.1, KAK9833704.1, KAK9834544.1
OG0000166	Null	KAK9818921.1, KAK9819336.1, KAK9830824.1, KAK9833741.1, KAK9833960.1, KAK9834425.1
OG0000167	Null	KAK9819533.1, KAK9825207.1, KAK9832884.1, KAK9833046.1, KAK9833094.1, KAK9833206.1
OG0000168	Null	KAK9820668.1, KAK9831261.1, KAK9831262.1, KAK9831263.1, KAK9841705.1, KAK9841706.1
OG0000169	Null	KAK9821478.1, KAK9821479.1, KAK9826221.1, KAK9826222.1, KAK9826286.1, KAK9833733.1
OG0000170	Null	KAK9822414.1, KAK9824879.1, KAK9833668.1, KAK9838726.1, KAK9842767.1, KAK9844727.1
OG0000171	Null	KAK9825777.1, KAK9825778.1, KAK9825794.1, KAK9825795.1, KAK9825796.1, KAK9825797.1
OG0000172	Null	KAK9826709.1, KAK9826710.1, KAK9827574.1, KAK9833869.1, KAK9834758.1, KAK9843337.1
OG0000173	Null	KAK9827747.1, KAK9827748.1, KAK9827770.1, KAK9827885.1, KAK9827886.1, KAK9827894.1
OG0000174	Null	KAK9832235.1, KAK9834376.1, KAK9834377.1, KAK9834378.1, KAK9834563.1, KAK9834694.1
OG0000175	Null	KAK9834446.1, KAK9834447.1, KAK9834448.1, KAK9834449.1, KAK9837599.1, KAK9837909.1
OG0000176	KAK9831920.1, KAK9839347.1, KAK9861333.1, KAK9861871.1	KAK9841295.1
OG0000177	KAK9832566.1, KAK9853593.1, KAK9865481.1	KAK9816233.1, KAK9816234.1
OG0000178	KAK9832675.1, KAK9854484.1, KAK9862648.1, KAK9864680.1, KAK9866216.1	
OG0000179	KAK9832680.1, KAK9851541.1	KAK9821369.1, KAK9821636.1, KAK9834421.1
OG0000180	KAK9833243.1, KAK9852119.1, KAK9864670.1	KAK9824877.1, KAK9837921.1
OG0000181	KAK9833494.1, KAK9860323.1, KAK9860324.1	KAK9822896.1, KAK9822897.1
OG0000182	KAK9833498.1, KAK9833499.1	KAK9822306.1, KAK9822402.1, KAK9822542.1
OG0000183	KAK9833505.1, KAK9833506.1, KAK9867927.1, KAK9869023.1	KAK9845133.1
OG0000184	KAK9834102.1, KAK9858419.1, KAK9858444.1, KAK9865556.1, KAK9868364.1	
OG0000185	KAK9834111.1, KAK9863087.1	KAK9825707.1, KAK9840109.1, KAK9840230.1
OG0000186	KAK9834230.1, KAK9834231.1	KAK9831672.1, KAK9831676.1, KAK9836460.1
OG0000187	KAK9834232.1, KAK9846854.1, KAK9853643.1	KAK9817625.1, KAK9834579.1
OG0000188	KAK9834233.1, KAK9846855.1, KAK9862712.1	KAK9834770.1, KAK9843038.1
OG0000189	KAK9834355.1, KAK9862103.1, KAK9865896.1, KAK9865897.1	KAK9833014.1
OG0000190	KAK9835097.1	KAK9822431.1, KAK9833835.1, KAK9834600.1, KAK9842661.1
OG0000191	KAK9835109.1, KAK9835110.1	KAK9825325.1, KAK9826033.1, KAK9839112.1
OG0000192	KAK9835118.1, KAK9863446.1, KAK9863449.1	KAK9843264.1, KAK9843265.1
OG0000193	KAK9835255.1, KAK9835258.1, KAK9867789.1	KAK9841197.1, KAK9841198.1
OG0000194	KAK9836070.1, KAK9857625.1, KAK9857982.1	KAK9825298.1, KAK9827790.1
OG0000195	KAK9836074.1, KAK9843585.1	KAK9827143.1, KAK9832304.1, KAK9843304.1
OG0000196	KAK9836076.1, KAK9852132.1, KAK9861175.1, KAK9864281.1	KAK9844472.1
OG0000197	KAK9836227.1, KAK9867735.1, KAK9868783.1	KAK9825484.1, KAK9825485.1
OG0000198	KAK9836376.1	KAK9819188.1, KAK9819205.1, KAK9819234.1, KAK9828280.1
OG0000199	KAK9837046.1, KAK9859316.1	KAK9818876.1, KAK9840160.1, KAK9840247.1
OG0000200	KAK9837057.1, KAK9840515.1	KAK9841358.1, KAK9841359.1, KAK9841360.1
OG0000201	KAK9837222.1	KAK9822439.1, KAK9833940.1, KAK9838964.1, KAK9842908.1
OG0000202	KAK9837224.1, KAK9837225.1, KAK9863963.1	KAK9842921.1, KAK9842922.1
OG0000203	KAK9837226.1	KAK9819539.1, KAK9830835.1, KAK9836517.1, KAK9836551.1
OG0000204	KAK9838226.1, KAK9861080.1	KAK9842865.1, KAK9842866.1, KAK9842867.1
OG0000205	KAK9838231.1, KAK9861195.1, KAK9861534.1	KAK9841326.1, KAK9841711.1
OG0000206	KAK9838422.1, KAK9838423.1, KAK9854487.1	KAK9822114.1, KAK9822115.1
